Stream Type,F#,HW Timestamp (ms),Backend Timestamp(ms),Host Timestamp(ms),3DOF_x,3DOF_y,3DOF_z
Accel,90491,910393087,1731909970691,1731909970692,-0.579,3.128,9.983
Accel,90492,910402953,1731909970702,1731909970702,-0.402,3.128,9.767
Accel,90493,910412817,1731909970712,1731909970712,-0.196,3.109,9.944
Accel,90494,910422683,1731909970722,1731909970722,-0.029,3.177,9.865
Accel,90495,910432549,1731909970731,1731909970731,0.039,3.109,9.728
Accel,90496,910442415,1731909970741,1731909970741,0.078,3.491,9.915
Accel,90497,910452281,1731909970751,1731909970751,0.167,3.511,9.807
Accel,90498,910462145,1731909970761,1731909970761,0.069,3.266,9.865
Accel,90499,910472011,1731909970771,1731909970771,0.010,3.285,9.885
Accel,90500,910481875,1731909970780,1731909970781,-0.167,3.217,9.836
Accel,90501,910491741,1731909970791,1731909970791,-0.245,3.217,9.983
Accel,90502,910501607,1731909970800,1731909970800,-0.265,2.873,9.915
Accel,90503,910511473,1731909970810,1731909970810,-0.275,2.854,9.915
Accel,90504,910521339,1731909970820,1731909970820,-0.343,2.834,9.915
Accel,90505,910531205,1731909970830,1731909970830,-0.235,2.412,9.816
Accel,90506,910541071,1731909970840,1731909970840,-0.343,2.118,9.934
Accel,90507,910550937,1731909970850,1731909970850,-0.530,1.687,10.042
Accel,90508,910560801,1731909970859,1731909970859,-0.794,1.393,9.816
Accel,90509,910570667,1731909970869,1731909970870,-0.745,1.549,9.758
Accel,90510,910580531,1731909970879,1731909970879,-0.696,0.422,10.013
Accel,90511,910590397,1731909970889,1731909970889,-0.696,-0.333,9.944
Accel,90512,910600261,1731909970899,1731909970899,-0.510,-0.363,9.758
Accel,90513,910610127,1731909970908,1731909970908,0.059,-0.843,9.807
Accel,90514,910619993,1731909970919,1731909970919,-0.137,-0.941,9.865
Accel,90515,910629859,1731909970928,1731909970928,-0.471,-0.696,9.807
Accel,90516,910639725,1731909970938,1731909970939,-0.402,-0.137,9.865
Accel,90517,910649589,1731909970948,1731909970948,-0.275,0.314,9.758
Accel,90518,910659455,1731909970958,1731909970958,0.029,-0.039,10.042
Accel,90519,910669319,1731909970968,1731909970968,-0.069,-0.922,9.787
Accel,90520,910679185,1731909970978,1731909970978,0.343,-1.314,9.895
Accel,90521,910689049,1731909970987,1731909970988,0.451,-1.893,9.836
Accel,90522,910698915,1731909970998,1731909970998,0.579,-2.275,9.816
Accel,90523,910708781,1731909971007,1731909971007,0.382,-2.236,9.709
Accel,90524,910718645,1731909971017,1731909971017,-0.078,-2.050,9.767
Accel,90525,910728511,1731909971027,1731909971027,-0.343,-2.716,9.964
Accel,90526,910738377,1731909971037,1731909971037,-0.579,-2.971,9.816
Accel,90527,910748241,1731909971047,1731909971047,-0.667,-3.079,9.915
Accel,90528,910758105,1731909971056,1731909971057,-0.843,-2.765,9.797
Accel,90529,910767971,1731909971066,1731909971067,-0.441,-2.746,9.895
Accel,90530,910777835,1731909971076,1731909971076,-0.245,-2.903,9.836
Accel,90531,910787701,1731909971086,1731909971086,-0.059,-3.217,9.836
Accel,90532,910797565,1731909971096,1731909971096,0.029,-3.040,9.816
Accel,90533,910807431,1731909971106,1731909971106,-0.039,-3.060,9.895
Accel,90534,910817295,1731909971116,1731909971116,-0.039,-3.060,9.865
Accel,90535,910827161,1731909971125,1731909971126,0.039,-2.716,9.758
Accel,90536,910837025,1731909971135,1731909971135,0.010,-2.648,9.816
Accel,90537,910846891,1731909971145,1731909971145,0.029,-2.746,9.865
Accel,90538,910856755,1731909971155,1731909971155,-0.039,-2.579,9.846
Accel,90539,910866621,1731909971165,1731909971165,-0.157,-2.511,9.816
Accel,90540,910876485,1731909971175,1731909971175,-0.314,-2.511,9.865
Accel,90541,910886351,1731909971185,1731909971185,-0.422,-2.344,9.865
Accel,90542,910896217,1731909971195,1731909971195,-0.441,-2.059,9.846
Accel,90543,910906083,1731909971204,1731909971204,-0.333,-1.853,9.846
Accel,90544,910915947,1731909971214,1731909971215,-0.343,-1.520,9.865
Accel,90545,910925813,1731909971224,1731909971224,-0.402,-1.206,9.836
Accel,90546,910935679,1731909971234,1731909971234,-0.255,-0.686,9.865
Accel,90547,910945543,1731909971244,1731909971244,0.137,0.010,9.865
Accel,90548,910955409,1731909971254,1731909971254,0.451,0.186,9.865
Accel,90549,910965275,1731909971264,1731909971264,0.735,0.235,9.865
Accel,90550,910975139,1731909971273,1731909971273,1.020,0.167,9.865
Accel,90551,910985005,1731909971284,1731909971284,1.540,0.343,9.885
Accel,90552,910994869,1731909971293,1731909971293,1.981,0.667,9.895
Accel,90553,911004733,1731909971303,1731909971304,2.363,0.951,9.885
Accel,90554,911014599,1731909971313,1731909971313,2.785,1.206,9.885
Accel,90555,911024465,1731909971323,1731909971323,2.903,1.412,9.915
Accel,90556,911034329,1731909971333,1731909971333,3.177,1.540,9.915
Accel,90557,911044195,1731909971343,1731909971343,3.285,1.540,9.915
Accel,90558,911054061,1731909971353,1731909971353,3.442,1.451,9.895
Accel,90559,911063927,1731909971362,1731909971362,4.011,1.334,9.915
Accel,90560,911073795,1731909971372,1731909971373,3.903,1.020,9.836
Accel,90561,911083659,1731909971382,1731909971382,3.079,0.530,9.915
Accel,90562,911093525,1731909971392,1731909971392,2.697,0.275,9.865
Accel,90563,911103389,1731909971402,1731909971402,2.403,0.098,9.944
Accel,90564,911113255,1731909971412,1731909971412,2.069,0.167,9.915
Accel,90565,911123119,1731909971421,1731909971422,1.177,-0.020,9.895
Accel,90566,911132985,1731909971431,1731909971432,0.451,-0.118,9.836
Accel,90567,911142851,1731909971441,1731909971441,0.333,0.059,9.816
Accel,90568,911152715,1731909971451,1731909971451,0.275,0.000,9.895
Accel,90569,911162581,1731909971461,1731909971461,0.471,0.059,9.846
Accel,90570,911172445,1731909971471,1731909971471,1.167,0.245,9.885
Accel,90571,911182311,1731909971481,1731909971481,1.569,0.137,9.895
Accel,90572,911192177,1731909971490,1731909971490,1.638,0.196,9.836
Accel,90573,911202041,1731909971500,1731909971500,1.020,0.020,9.846
Accel,90574,911211907,1731909971510,1731909971510,0.657,0.098,9.885
Accel,90575,911221773,1731909971520,1731909971520,0.382,0.275,9.895
Accel,90576,911231639,1731909971530,1731909971530,-0.402,0.490,9.895
Accel,90577,911241503,1731909971540,1731909971540,-0.618,0.226,9.885
Accel,90578,911251369,1731909971550,1731909971550,-0.804,-0.069,9.895
Accel,90579,911261235,1731909971560,1731909971560,-0.951,-0.510,9.846
Accel,90580,911271103,1731909971569,1731909971569,-0.726,-0.363,9.836
Accel,90581,911280969,1731909971579,1731909971580,-0.510,0.127,9.846
Accel,90582,911290835,1731909971589,1731909971589,-0.814,0.422,9.885
Accel,90583,911300701,1731909971599,1731909971599,-1.285,0.275,9.865
Accel,90584,911310567,1731909971609,1731909971609,-1.883,0.118,9.767
Accel,90585,911320433,1731909971619,1731909971619,-2.265,0.157,9.807
Accel,90586,911330301,1731909971629,1731909971629,-2.452,0.137,9.787
Accel,90587,911340165,1731909971639,1731909971639,-2.854,-0.226,9.816
Accel,90588,911350031,1731909971649,1731909971649,-3.148,-0.422,9.915
Accel,90589,911359897,1731909971658,1731909971658,-2.883,-0.363,9.865
Accel,90590,911369761,1731909971668,1731909971669,-2.412,-0.118,9.836
Accel,90591,911379627,1731909971678,1731909971678,-1.952,-0.069,9.895
Accel,90592,911389491,1731909971688,1731909971688,-2.138,-0.039,9.846
Accel,90593,911399357,1731909971698,1731909971698,-2.815,-0.265,9.865
Accel,90594,911409221,1731909971708,1731909971708,-2.903,-0.363,9.767
Accel,90595,911419085,1731909971718,1731909971718,-2.560,-0.402,9.836
Accel,90596,911428951,1731909971727,1731909971727,-2.246,-0.343,9.846
Accel,90597,911438815,1731909971737,1731909971738,-2.197,-0.451,9.709
Accel,90598,911448681,1731909971747,1731909971747,-2.471,-0.735,9.865
Accel,90599,911458547,1731909971757,1731909971757,-2.324,-0.765,9.816
Accel,90600,911468411,1731909971767,1731909971767,-2.050,-0.775,9.797
Accel,90601,911478275,1731909971777,1731909971777,-2.118,-0.941,9.807
Accel,90602,911488139,1731909971786,1731909971786,-1.883,-0.745,9.836
Accel,90603,911498005,1731909971797,1731909971797,-1.471,-0.549,9.846
Accel,90604,911507869,1731909971806,1731909971806,-1.255,-0.402,9.816
Accel,90605,911517733,1731909971816,1731909971816,-1.373,-0.471,9.836
Accel,90606,911527599,1731909971826,1731909971826,-1.559,-0.559,9.846
Accel,90607,911537465,1731909971836,1731909971836,-1.589,-0.471,9.836
Accel,90608,911547329,1731909971846,1731909971846,-1.648,-0.343,9.865
Accel,90609,911557195,1731909971855,1731909971855,-1.520,-0.265,9.865
Accel,90610,911567061,1731909971865,1731909971865,-1.285,-0.137,9.846
Accel,90611,911576925,1731909971875,1731909971875,-1.206,-0.127,9.836
Accel,90612,911586791,1731909971885,1731909971885,-0.961,-0.078,9.865
Accel,90613,911596655,1731909971895,1731909971895,-0.618,-0.010,9.865
Accel,90614,911606521,1731909971905,1731909971905,-0.530,0.000,9.865
Accel,90615,911616385,1731909971915,1731909971915,-0.167,-0.020,9.865
Accel,90616,911626251,1731909971925,1731909971925,-0.127,-0.059,9.865
Accel,90617,911636115,1731909971934,1731909971934,-0.039,-0.157,9.865
Accel,90618,911645981,1731909971944,1731909971944,0.127,-0.275,9.865
Accel,90619,911655845,1731909971954,1731909971954,0.137,-0.530,9.865
Accel,90620,911665711,1731909971964,1731909971964,0.226,-0.843,9.865
Accel,90621,911675575,1731909971974,1731909971974,0.196,-1.206,9.865
Accel,90622,911685441,1731909971984,1731909971984,0.177,-1.569,9.885
Accel,90623,911695307,1731909971994,1731909971994,0.127,-1.814,9.885
Accel,90624,911705173,1731909972003,1731909972003,0.078,-1.952,9.846
Accel,90625,911715039,1731909972013,1731909972014,0.078,-2.001,9.846
Accel,90626,911724905,1731909972023,1731909972023,0.137,-2.177,9.865
Accel,90627,911734771,1731909972033,1731909972034,0.167,-2.452,9.846
Accel,90628,911744637,1731909972043,1731909972043,0.039,-2.765,9.797
Accel,90629,911754501,1731909972053,1731909972053,-0.275,-2.854,9.836
Accel,90630,911764367,1731909972063,1731909972063,-0.343,-3.079,9.885
Accel,90631,911774233,1731909972073,1731909972073,-0.275,-2.991,9.787
Accel,90632,911784097,1731909972083,1731909972083,-0.127,-2.697,9.915
Accel,90633,911793963,1731909972092,1731909972092,-0.039,-2.511,9.964
Accel,90634,911803829,1731909972102,1731909972103,0.069,-2.265,9.816
Accel,90635,911813695,1731909972112,1731909972112,0.010,-2.059,9.983
Accel,90636,911823561,1731909972122,1731909972122,0.039,-1.814,9.846
Accel,90637,911833425,1731909972132,1731909972132,-0.020,-1.451,9.964
Accel,90638,911843291,1731909972142,1731909972142,-0.363,-1.226,9.816
Accel,90639,911853157,1731909972152,1731909972152,-0.451,-1.118,9.797
Accel,90640,911863023,1731909972162,1731909972162,-0.451,-1.157,9.846
Accel,90641,911872889,1731909972171,1731909972172,-0.382,-1.373,9.944
Accel,90642,911882755,1731909972181,1731909972182,-0.137,-1.167,9.807
Accel,90643,911892619,1731909972191,1731909972191,0.000,-0.686,9.728
Accel,90644,911902487,1731909972201,1731909972201,-0.343,0.186,9.767
Accel,90645,911912353,1731909972211,1731909972211,-0.951,0.039,9.865
Accel,90646,911922221,1731909972220,1731909972221,-1.206,-0.069,10.032
Accel,90647,911932087,1731909972231,1731909972231,-0.951,0.618,9.885
Accel,90648,911941953,1731909972240,1731909972240,-0.804,1.344,9.718
Accel,90649,911951821,1731909972250,1731909972250,-0.363,1.667,9.983
Accel,90650,911961689,1731909972260,1731909972260,0.314,1.667,9.993
Accel,90651,911971553,1731909972270,1731909972270,0.059,1.804,9.964
Accel,90652,911981419,1731909972280,1731909972280,0.000,2.050,9.934
Accel,90653,911991285,1731909972290,1731909972290,0.078,2.069,10.062
Accel,90654,912001149,1731909972300,1731909972300,0.078,1.932,9.895
Accel,90655,912011017,1731909972309,1731909972309,-0.137,2.265,9.836
Accel,90656,912020883,1731909972319,1731909972319,-0.157,2.491,9.709
Accel,90657,912030747,1731909972329,1731909972329,-0.245,2.697,9.934
Accel,90658,912040613,1731909972339,1731909972339,-0.206,2.697,9.865
Accel,90659,912050477,1731909972349,1731909972349,-0.177,2.667,9.885
Accel,90660,912060343,1731909972359,1731909972359,-0.275,2.628,9.816
Accel,90661,912070209,1731909972368,1731909972368,-0.314,2.285,10.032
Accel,90662,912080073,1731909972378,1731909972379,-0.510,2.393,9.816
Accel,90663,912089939,1731909972388,1731909972388,-0.441,2.167,9.885
Accel,90664,912099803,1731909972398,1731909972398,-0.314,1.922,9.865
Accel,90665,912109669,1731909972408,1731909972408,-0.255,1.834,9.807
Accel,90666,912119535,1731909972418,1731909972418,-0.206,1.863,9.836
Accel,90667,912129399,1731909972428,1731909972428,-0.314,1.687,9.846
Accel,90668,912139265,1731909972437,1731909972437,-0.490,1.471,9.885
Accel,90669,912149129,1731909972447,1731909972448,-0.598,1.500,9.885
Accel,90670,912158995,1731909972457,1731909972457,-0.628,1.402,9.895
Accel,90671,912168861,1731909972467,1731909972467,-0.657,1.334,9.836
Accel,90672,912178727,1731909972477,1731909972477,-0.598,1.255,9.885
Accel,90673,912188591,1731909972487,1731909972487,-0.245,0.275,9.885
Accel,90674,912198457,1731909972497,1731909972497,-0.186,-0.069,9.836
Accel,90675,912208321,1731909972507,1731909972507,-0.226,0.059,9.846
Accel,90676,912218187,1731909972516,1731909972517,-0.206,0.059,9.865
Accel,90677,912228051,1731909972526,1731909972527,-0.196,0.039,9.865
Accel,90678,912237917,1731909972536,1731909972537,-0.196,0.039,9.865
Accel,90679,912247781,1731909972546,1731909972546,-0.226,0.039,9.865
Accel,90680,912257645,1731909972556,1731909972556,-0.226,0.059,9.865
Accel,90681,912267509,1731909972566,1731909972566,-0.226,0.059,9.865
Accel,90682,912277375,1731909972576,1731909972576,-0.226,0.069,9.865
Accel,90683,912287239,1731909972586,1731909972586,-0.226,0.039,9.865
Accel,90684,912297103,1731909972596,1731909972596,-0.226,0.059,9.865
Accel,90685,912306967,1731909972605,1731909972605,-0.206,0.039,9.865
Accel,90686,912316831,1731909972615,1731909972616,-0.196,0.039,9.865
Accel,90687,912326695,1731909972625,1731909972625,-0.206,0.078,9.865
Accel,90688,912336559,1731909972635,1731909972635,-0.196,0.069,9.865
Accel,90689,912346425,1731909972645,1731909972645,-0.226,0.059,9.865
Accel,90690,912356289,1731909972654,1731909972654,-0.226,0.059,9.865
Accel,90691,912366155,1731909972664,1731909972665,-0.196,0.069,9.865
Accel,90692,912376019,1731909972674,1731909972674,-0.196,0.059,9.865
Accel,90693,912385885,1731909972684,1731909972684,-0.206,0.039,9.865
Accel,90694,912395749,1731909972694,1731909972694,-0.206,0.039,9.865
Accel,90695,912405613,1731909972704,1731909972704,-0.226,0.039,9.865
Accel,90696,912415477,1731909972714,1731909972714,-0.226,0.059,9.865
Accel,90697,912425343,1731909972724,1731909972724,-0.206,0.078,9.865
Accel,90698,912435207,1731909972734,1731909972734,-0.206,0.059,9.865
Accel,90699,912445073,1731909972743,1731909972744,-0.226,0.059,9.865
Accel,90700,912454937,1731909972754,1731909972754,-0.196,0.059,9.846
Accel,90701,912464803,1731909972763,1731909972763,-0.196,0.059,9.846
Accel,90702,912474667,1731909972773,1731909972774,-0.196,0.039,9.865
Accel,90703,912484533,1731909972783,1731909972783,-0.226,0.039,9.865
Accel,90704,912494397,1731909972793,1731909972793,-0.206,0.039,9.836
Accel,90705,912504261,1731909972802,1731909972802,-0.206,0.059,9.846
Accel,90706,912514125,1731909972812,1731909972813,-0.196,0.069,9.846
Accel,90707,912523989,1731909972822,1731909972822,-0.206,0.059,9.865
Accel,90708,912533853,1731909972832,1731909972833,-0.206,0.059,9.865
Accel,90709,912543717,1731909972842,1731909972842,-0.196,0.039,9.865
